Token,Cantidad
having,5261
given,5252
remained,5247
service,5220
make,5218
main,5210
published,5198
very,5189
london,5153
will,5092
half,5076
position,5074
land,5064
building,5056
become,5049
power,5030
side,5027
play,5024
11,4950
point,4913
take,4912
australia,4909
never,4875
river,4844
club,4841
little,4834
less,4814
song,4809
way,4805
children,4799
t,4795
months,4789
political,4772
single,4771
storm,4768
band,4765
lost,4758
man,4719
do,4700
road,4676
country,4664
himself,4660
went,4648
form,4645
sent,4638
25,4593
father,4582
history,4578
show,4558
son,4535
16,4525
works,4522
18,4520
miles,4516
design,4503
air,4492
military,4489
throughout,4481
we,4475
once,4467
career,4461
original,4427
14,4426
gave,4408
across,4399
church,4388
include,4354
island,4312
100,4309
games,4279
you,4278
forces,4269
black,4264
per,4249
aircraft,4238
13,4230
attack,4230
age,4222
return,4213
young,4209
york,4198
times,4191
southern,4188
recorded,4171
similar,4169
control,4168
followed,4155
u,4137
women,4137
ships,4137
instead,4136
town,4132
short,4131
match,4129
served,4100
reported,4096
caused,4087
making,4080
order,4079
head,4069
court,4068
areas,4061
office,4060
book,4054
taken,4051
produced,4050
construction,4047
run,4046
established,4045
division,4037
population,4022
top,4008
result,4005
should,3995
production,3972
using,3966
feet,3959
reached,3928
john,3923
others,3922
different,3902
fire,3899
soon,3883
league,3871
believed,3854
range,3846
formed,3839
almost,3839
away,3834
low,3826
australian,3818
rather,3805
thought,3773
17,3772
northern,3762
royal,3762
success,3741
western,3723
wife,3722
law,3711
born,3707
episode,3707
seven,3704
seen,3699
developed,3686
too,3686
50,3674
campaign,3673
stated,3666
tour,3654
close,3653
eight,3652
opened,3635
24,3634
site,3633
class,3628
total,3626
c,3621
member,3620
met,3620
field,3614
important,3611
common,3607
eventually,3607
popular,3601
saw,3599
written,3599
style,3588
damage,3587
ft,3586
allowed,3584
right,3582
character,3575
leading,3564
story,3556
brought,3525
full,3521
created,3517
upon,3508
lead,3507
battle,3485
appeared,3467
passed,3459
able,3456
performance,3451
france,3429
good,3429
least,3425
heavy,3423
22,3423
body,3411
ground,3404
decided,3402
killed,3400
writing,3397
19,3393
william,3383
how,3378
modern,3375
development,3371
ten,3361
britain,3354
21,3352
project,3342
sea,3336
various,3335
troops,3335
re,3314
increased,3312
h,3310
completed,3306
mid,3292
provided,3291
average,3288
act,3287
players,3279
region,3270
bridge,3268
sold,3261
central,3259
initially,3256
announced,3242
open,3232
appointed,3228
strong,3222
red,3207
test,3206
evidence,3201
fleet,3193
light,3192
joined,3191
noted,3188
far,3183
level,3182
henry,3172
largest,3160
stage,3142
together,3141
command,3133
either,3132
present,3131
every,3129
successful,3128
placed,3118
tropical,3112
earlier,3104
particularly,3102
replaced,3080
mother,3077
towards,3074
23,3073
station,3064
worked,3060
eastern,3058
ever,3052
40,3050
behind,3047
front,3039
win,3035
race,3034
significant,3025
bill,3023
possible,3009
told,3004
street,3002
coast,3001
hours,2999
case,2989
previous,2988
500,2986
28,2975
rest,2974
my,2971
election,2953
mi,2943
governor,2941
put,2937
spent,2934
felt,2933
whom,2926
addition,2921
study,2917
proposed,2915
generally,2913
television,2913
involved,2912
training,2912
county,2907
asked,2895
example,2887
events,2884
action,2880
required,2875
suggested,2875
victory,2872
arrived,2870
night,2869
brother,2867
center,2864
2007,2858
200,2853
working,2846
agreed,2842
failed,2841
2006,2832
runs,2829
lower,2823
japanese,2821
help,2819
hurricane,2819
whose,2818
26,2816
might,2816
ordered,2815
added,2814
weeks,2813
interest,2808
month,2806
europe,2803
nine,2800
money,2794
release,2792
above,2791
designed,2789
located,2787
route,2781
started,2780
non,2779
27,2776
outside,2770
term,2769
director,2769
event,2759
ended,2751
2009,2746
supported,2744
ii,2741
turned,2730
points,2723
post,2716
forced,2713
performed,2711
probably,2698
scored,2698
larger,2684
2008,2683
beginning,2680
committee,2677
version,2676
america,2668
taking,2661
2010,2660
playing,2660
title,2659
likely,2658
live,2653
university,2651
quickly,2649
see,2643
students,2641
enough,2639
international,2632
highest,2632
change,2631
st,2625
college,2619
official,2617
crew,2617
songs,2606
attempt,2601
gold,2589
sometimes,2583
influence,2581
de,2579
player,2578
hall,2571
claimed,2565
edward,2559
captain,2557
d,2551
fourth,2550
refused,2545
week,2543
future,2541
wanted,2539
married,2533
mm,2526
issue,2523
remaining,2521
originally,2514
introduced,2510
board,2508
base,2501
thus,2495
2005,2492
free,2492
female,2488
food,2479
parts,2478
29,2476
especially,2473
letter,2472
historian,2462
start,2462
estimated,2461
groups,2456
go,2453
report,2452
elected,2448
usually,2445
squadron,2445
highway,2443
social,2442
minister,2441
birds,2441
navy,2439
teams,2436
private,2426
finished,2425
minutes,2424
plan,2422
research,2421
summer,2421
daughter,2420
program,2418
johnson,2414
percent,2408
chief,2408
cost,2407
lived,2407
2011,2386
size,2386
canada,2380
loss,2377
art,2373
view,2372
business,2370
already,2370
james,2364
struck,2364
kingdom,2360
available,2359
society,2346
leaving,2341
shortly,2337
process,2335
congress,2335
winds,2330
lines,2327
signed,2325
federal,2325
carried,2320
helped,2314
star,2314
silver,2313
poor,2309
hit,2307
nearly,2307
intended,2307
council,2306
previously,2306
george,2304
raised,2299
entered,2293
creek,2286
better,2284
police,2283
germany,2282
movement,2277
lake,2266
provide,2262
remains,2262
suffered,2262
meeting,2257
section,2256
lack,2255
longer,2252
approximately,2251
ran,2249
european,2247
human,2244
living,2238
issued,2233
hand,2233
me,2233
queen,2231
special,2229
destroyed,2228
move,2227
middle,2225
2012,2224
relationship,2223
majority,2221
come,2221
union,2213
mph,2213
offered,2212
personal,2212
operation,2212
get,2210
whether,2207
commander,2207
buildings,2201
latter,2196
washington,2195
entire,2193
coins,2193
parliament,2192
attempted,2191
rock,2185
immediately,2183
defeated,2169
complete,2165
limited,2164
critics,2154
officers,2154
records,2153
give,2153
higher,2150
difficult,2149
additional,2149
flight,2145
opening,2142
winter,2135
brown,2135
friend,2133
conditions,2130
accepted,2125
cause,2112
press,2111
male,2111
31,2106
surface,2103
300,2100
response,2098
charles,2098
sought,2098
guns,2098
19th,2097
officer,2095
smaller,2091
room,2090
wide,2087
material,2087
staff,2084
itself,2084
track,2084
increase,2082
appearance,2080
awarded,2078
discovered,2075
must,2075
rights,2074
today,2073
related,2072
attended,2071
does,2069
features,2066
nearby,2065
manager,2065
community,2062
terms,2062
musical,2061
2013,2059
planned,2058
unable,2057
efforts,2056
co,2054
plans,2052
fell,2052
leader,2051
decision,2049
changes,2049
health,2048
cup,2048
woman,2043
village,2036
books,2036
trade,2034
soldiers,2034
effect,2033
stone,2032
changed,2027
football,2025
needed,2019
date,2014
2004,2008
f,2008
regular,2006
featured,2003
largely,2002
course,2001
shot,1998
naval,1997
education,1997
upper,1993
removed,1992
occurred,1990
type,1986
2014,1986
native,1986
finally,1985
ice,1982
religious,1980
mint,1979
services,1976
experience,1972
friends,1965
operations,1959
list,1959
60,1958
child,1956
becoming,1955
cross,1952
space,1951
natural,1951
b,1951
anti,1946
allow,1945
winning,1944
breeding,1940
media,1937
damaged,1931
numbers,1929
marriage,1927
2003,1925
prior,1925
hill,1925
themselves,1925
running,1924
cut,1915
initial,1914
status,1911
senate,1911
find,1910
problems,1910
love,1902
person,1898
yet,1896
paid,1889
scene,1887
turn,1886
mostly,1884
grant,1879
structure,1878
jackson,1877
saying,1875
length,1874
expected,1874
idea,1871
award,1871
active,1870
subsequently,1866
2015,1866
centre,1864
reduced,1863
associated,1862
greater,1861
declared,1860
captured,1858
resulted,1856
commission,1856
spanish,1856
sound,1855
ball,1851
pressure,1845
india,1843
face,1840
annual,1839
attention,1833
numerous,1829
20th,1828
magazine,1827
closed,1825
matches,1815
video,1814
secretary,1811
cover,1811
leave,1810
covered,1807
financial,1806
writer,1803
presented,1802
round,1802
mission,1802
expedition,1797
films,1790
railway,1789
primary,1784
subject,1784
practice,1782
conducted,1781
extended,1781
clear,1780
kept,1780
proved,1774
nature,1770
characters,1770
2000,1769
valley,1768
mary,1768
units,1768
selected,1767
particular,1764
forest,1764
appear,1761
fact,1758
elements,1757
below,1756
houses,1755
going,1754
e,1753
richard,1751
always,1751
africa,1749
cm,1746
pieces,1740
district,1735
god,1735
speed,1735
visited,1734
2018,1730
forward,1729
castle,1727
minor,1727
2001,1725
score,1724
